image,caption_1,caption_2,caption_3,caption_4,caption_5
2256133102_e2c8314ecb.jpg,An individual rappelling down a cliff towards the water,A man in blue pants repels off a cliff over water .,A person hangs from a rope on a cliff,A man is hanging by a line off a cliff above water .,Someone dangles on a rope from a rocky cliff over the ocean .
3265209567_b3b9c8e0fe.jpg,A dog is running past a farm animal nearby a fence diving tall and short grass .,The brown and white dog ran through the green grass .,Dog and cow in field .,A brown and white dog walks behind a brown cow .,A dog running along beside a cow in a grassy field .
2470493181_2efbbf17bd.jpg,Two boys are standing on a balance beam while playing with a green rope .,Two young boys playing a game on a log while other kids look on .,"Two boys holding a green rope and competing against each other on a balancing rod , while others look on .",Two kids are balancing on a log and holding a rope .,two boys on a balance beam holding a rope
2473738924_eca928d12f.jpg,Two girls in karate uniforms struggle in a dojo .,Two little girls practice martial arts .,Two little girls spar in a Karate bout .,Two young girls sparring in white martial arts outfits while a third person watches from the side .,Two little girls are dressed in white karate uniforms .
3547368652_0d85c665d3.jpg,Kid riding skateboard down the stairs .,A skateboarder is jumping down three steps .,A boy leaps off his skateboard over some steps near a house .,A person wearing a red shirt jumps with a skateboard over the steps .,The boy is skateboarding on the stairs .
2609836649_b55831ed41.jpg,A brown and white dog is paddling through deep water in a blue container .,The brown and white dog swims in a swimming pool .,A dog is swimming in an above ground pool .,A brown and white dog swims in a backyard swimming pool .,The little white and brown dog is swimming in a pool .
2251447809_2de73afcdf.jpg,A man dressed in black walks on an icy sidewalk,A quiet sidewalk in a town with a view of a traffic intersection .,a man walks on the icy sidewalk .,There is a man dressed in black walking on a sidewalk with melted snow .,Man walking toward his car on an icy sidewalk in the city .
3490044563_8eb551ef59.jpg,A woman with her hair pulled up with a surgical mask on .,A young woman wearing a mask .,A young women with a pink mask over her face .,A woman is wearing a dust mask on her mouth whilst walking in the street .,Girl in plaid shirt wears a mask over her face as she walks in public .
2549452277_873cb80d3e.jpg,A pony-tailed man in a yellow jacket is wearing a bicycle helmet .,The man with the ponytail and helmet looks on .,A man in a bright yellow jacket is wearing a helmet .,A man in a florescent jacket is wearing a helmet .,The man has on a yellow jacket and a white helmet .
542179694_e170e9e465.jpg,"A firetruck stops and makes a call at a bridge , where a man and his dogs are running .",A jogger with a dog running towards a firetruck with extended ladder on a road,A jogger with a dog approaches a ladder truck .,A man walks on a sidewalk and a firetruck is nearby .,A firetruck with ladder extended on the side of the road .
